Method,Balanced Accuracy,Precision,Recall,Specificity,F1
bce,82.78456612684607,27.0737316035068,86.72624631698183,78.84288593671032,36.88215033946315
focal,93.015839646111,31.95949004989601,96.4547832335095,89.57689605871252,42.575762894899974
ohem,72.6113997230907,26.176470588235297,45.70759266914703,99.51520677703435,33.15778386349273
focal_ohem,92.35625413037751,12.301233309261853,93.9782279178724,90.73428034288263,19.778857622016318
